LFP WHRS KL6 K618 WA WE WW RPWG HHRS HA HE HW FAMINC MTR WMED WFED UN CIT AX
1 1610 1 0 32 12  3.3540  2.65 2708 34 12  4.0288 16310 .7215 12  7  5.0 0 14
1 1656 0 2 30 12  1.3889  2.65 2310 30  9  8.4416 21800 .6615  7  7 11.0 1  5
1 1980 1 3 35 12  4.5455  4.04 3072 40 12  3.5807 21040 .6915 12  7  5.0 0 15
1  456 0 3 34 12  1.0965  3.25 1920 53 10  3.5417  7300 .7815  7  7  5.0 0  6
1 1568 1 2 31 14  4.5918  3.60 2000 32 12 10.0000 27300 .6215 12 14  9.5 1  7
1 2032 0 0 54 12  4.7421  4.70 1040 57 11  6.7106 19495 .6915 14  7  7.5 1 33
1 1440 0 2 37 16  8.3333  5.95 2670 37 12  3.4277 21152 .6915 14  7  5.0 0 11
1 1020 0 0 54 12  7.8431  9.98 4120 53  8  2.5485 18900 .6915  3  3  5.0 0 35
1 1458 0 2 48 12  2.1262  0.00 1995 52  4  4.2206 20405 .7515  7  7  3.0 0 24
1 1600 0 2 39 12  4.6875  4.15 2100 43 12  5.7143 20425 .6915  7  7  5.0 0 21
1 1969 0 1 33 12  4.0630  4.30 2450 34 12  9.7959 32300 .5815 12  3  5.0 0 15
1 1960 0 1 42 11  4.5918  4.58 2375 47 14  8.0000 28700 .6215 14  7  5.0 0 14
1  240 1 2 30 12  2.0833  0.00 2830 33 16  5.3004 15500 .7215 16 16  5.0 0  0
1  997 0 2 43 12  2.2668  3.50 3317 46 12  4.3413 16860 .7215 10 10  7.5 1 14
1 1848 0 1 43 10  3.6797  3.38 2024 45 17 10.8700 31431 .5815  7  7  7.5 1  6
1 1224 0 3 35 11  1.3472  0.00 1694 38 12  9.1499 19180 .7215 16 10  7.5 1  9
1 1400 0 2 43 12  3.2143  4.00 2156 45 12  6.1224 18600 .6915 10  7  7.5 1 20
1  640 0 5 39 12  5.1750  2.25 2250 40 12  6.1498 19151 .7215 12 12  7.5 1  6
1 2000 0 0 45 12  2.0000  2.30 2024 51 11  6.9170 18100 .6915  7  7  5.0 1 23
1 1324 0 4 35 12  7.5529  3.94 2123 40 10  4.7103 20300 .6915 12  7  5.0 0  9
1 2215 0 2 42 16  3.5052  3.30 4160 48 16  3.1310 30419 .6215 10 16  7.5 0  5
1 1680 0 0 30 12  3.5714  3.80 2000 35 12  4.0000 14090 .7215 12 10  3.0 0 11
1 1600 0 0 48 13  3.2500  3.26 2420 52 17  7.2227 22679 .6615  7  3  5.0 1 18
1  800 0 0 45 12  3.2500  2.20 1150 53 17  7.9652 12160 .7215  7  7 11.0 0 15
1 1955 1 1 31 12  2.1545  2.30 2024 31 12  4.0884 12487 .7515 12  7  5.0 1  4
1  660 0 2 43 17  3.7879  0.00 1904 43 17 14.1810 29850 .5815 16 14  9.5 1 21
1  525 0 0 59 12  4.0000  3.18 2448 53 16  6.5359 18100 .6915  3  7  9.5 1 31
1 1904 0 3 32 12  4.7269  6.07 2000 33 13  8.5000 26000 .6615  3  7 11.0 1  9
1 1516 1 0 31 17  7.2559  6.00 2390 30 17  6.2762 26100 .6215 12 12  5.0 0  7
1  346 0 0 42 12  5.8671  6.39 1920 47 10  5.2083 17730 .7215 12 12  9.5 0  7
1 1040 0 0 50 11  1.5385  0.00 1840 53 10  2.7821  6719 .7515  7  7  7.5 1 32
1  732 0 0 59 16  2.4590  2.50 3360 57 17  4.9107 18550 .6915  3  3 14.0 1 11
1 1880 0 2 36 13  5.8511  5.20 2284 35 13  5.8669 24600 .6615 12 10  7.5 0 16
1 1680 0 1 51 12  3.5714  3.29 1875 50  8  7.5200 23100 .6915  7 14  5.0 1 14
1 2081 0 3 45 16  3.8068  4.19 2140 47 17  7.5449 24656 .6615 12 12  5.0 1 27
1  690 0 1 42 11  2.4638  0.00 1896 44  8  5.5380 15897 .7515 10  3  7.5 0  0
1 4210 0 0 46 12  2.3753  4.63 1040 49 16  6.9231 20320 .6915  3  3 11.0 1 17
1 2205 0 1 46 10  4.5351  4.55 2200 52 12  5.0000 21384 .6615 10  3 11.0 0 28
1 1952 0 0 51 14  5.6183  5.60 1952 58 12  7.3064 25561 .6215  7  7 14.0 0 24
1 1302 0 0 30 17 14.6310  9.53 1560 30 17 11.2180 36550 .5800 14 17  5.0 1 11
1  112 1 2 30 12  2.6786  0.00 4030 33 16  3.8462 15810 .7215 12 12  3.0 0  1
1  893 0 0 57 12  3.9194  3.50 2570 58 12  5.8366 25500 .6215  9  9  7.5 1 14
1  583 1 2 31 16  2.5729  9.98 1530 34 16 13.7250 24000 .6615 14 16  9.5 1  6
1  480 0 2 48 12  4.5375  4.65 3149 48  8  6.3493 22172 .6615  3  3  5.0 0 10
1 1900 0 3 30 12  2.0000  2.23 2690 32 12  5.2528 17930 .7215 12  7  5.0 0  6
1  576 0 2 34 12  3.4722  3.84 3096 33 12  1.3075  7000 .7815 12  7  3.0 0  4
1 2056 0 2 48 16  2.0161  0.00 2552 53 16  2.7998 25300 .7215 14 16  5.0 1 10
1 1984 0 0 45 12  4.5716  4.82 2040 47 11  2.6961 16212 .7215 10 10 11.0 0 22
1 2640 0 0 51 12  2.2727  0.00 2180 50 13  7.5688 22650 .6615  7  7  3.0 0 16
1  240 0 2 30 12  2.6375  0.00 1864 37 12  3.4077  6985 .7815 12  7 14.0 0  6
1 1173 0 1 46 12  2.2899  2.50 2068 46 12  6.5401 30000 .6915  7  7 11.0 1 12
1 3640 0 0 58 12  1.0989  0.00 2010 58 12  7.2139 18500 .6915  7  3  9.5 1 32
1  340 0 8 37 12  1.1765  0.00 2152 40 10  6.2732 16658 .7515 12  7  5.0 0 15
1  500 0 0 52  8  1.6000  0.00 1496 54 11  5.8824 10300 .7515  7  7  5.0 1 17
1 1599 0 0 52 10  1.8762  2.80 2100 47  4  3.8095 11000 .7515  7  3  7.5 0 34
1 1830 0 0 31 16  4.0437  4.20 1960 35 14  6.3776 19900 .6915 12 12  7.5 1  9
1 1920 0 0 55 14  9.6354  8.75 1985 55 15  6.0453 32500 .6400  7  7 14.0 1 37
1 2052 0 0 34 17  8.0409  8.25 2020 33 17  8.8119 37300 .5800 17 17  7.5 1 10
1 2312 0 0 55 14  4.5990  5.58 2178 56 16  8.8765 30018 .5815 17  7 11.0 1 35
1  196 0 2 39 12  2.1429  2.50 3684 39 12  3.3420 12807 .7515 12  7 14.0 1  6
1 2500 0 3 40 14  4.4000  5.50 5010 42 13  3.1836 39500 .5515 14  3  7.5 0 19
1 1980 0 4 43 12  3.5354  3.75 1880 47 12  6.9149 22050 .6915 12 12  9.5 1 10
1 1840 0 0 48  8  2.7174  4.80 1904 56  8  5.5147 15500 .7215  7  7 14.0 1 11
1  320 0 0 47 12  6.2500  6.25 2083 47 12  5.2808 13810 .7215  7  7  9.5 1 15
1  419 0 4 41 12 11.9330  6.30 2125 44 12  3.2000 11950 .7515  7  7  5.0 1 12
1 1880 0 0 36  8  3.5931  3.75 1985 37 12  5.8791 19175 .6915 12 12  7.5 0 12
1   72 0 2 46 17  6.9444  0.00 2640 48 17  6.2500 17900 .6915 12 16  7.5 0 14
1  120 0 0 34 12  2.9167  0.00 2070 51  8  7.4879 15850 .7215 12  7  5.0 1 11
1 1885 0 3 41 12  3.0769  2.90 2107 48  8  6.9767 27017 .6915  7  7  5.0 1  9
1  240 0 1 51 12  3.7500  0.00 2250 54 10  8.0000 18900 .6915 12  7  5.0 0 24
1 1729 0 0 33 12  5.7259  4.76 2880 34 16  4.1319 21800 .6915 12 12  7.5 1 12
1 1850 0 0 52 12  3.6757  3.40 1848 53 12 14.4760 33552 .5515 10 10  7.5 1 13
1 2033 0 0 58  9  5.1648  4.32 1927 53  7  5.7343 22650 .6615  7  9  7.5 1 29
1  608 2 4 34 10  8.2237  3.00 1304 38  9  3.3742 15200 .7915  0  0  7.5 1 11
